Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pointManagement,Chrome 97.0.4692.71,,,2022-01-17 08:59:25,2022-01-17 08:59:52,27.660s,PASSED
,,,,,,,
Test Cases/login,Chrome 97.0.4692.71,,,2022-01-17 08:59:25,2022-01-17 08:59:44,19.208s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:59:26,2022-01-17 08:59:38,12.252s,PASSED
"navigateToUrl(""https://alpha-admin.shopby.co.kr/pro/auth"")",Chrome 97.0.4692.71,,,2022-01-17 08:59:38,2022-01-17 08:59:42,4.052s,PASSED
"setText(findTestObject(""Page_shopby-pro-admin/input_id""), ""shopbyproadmin"")",Chrome 97.0.4692.71,,,2022-01-17 08:59:42,2022-01-17 08:59:43,0.876s,PASSED
"setEncryptedText(findTestObject(""Page_shopby-pro-admin/input_password""), ""YY6OvKdam5zXcWhrYqhBkg=="")",Chrome 97.0.4692.71,,,2022-01-17 08:59:43,2022-01-17 08:59:44,0.538s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/button_login""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:44,2022-01-17 08:59:44,0.564s,PASSED
,,,,,,,
Test Cases/Point Payment Deduction Management,Chrome 97.0.4692.71,,,2022-01-17 08:59:44,2022-01-17 08:59:49,4.140s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:46,2022-01-17 08:59:47,1.155s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/span_PointManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:47,2022-01-17 08:59:47,0.506s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__PointPaymentDedutionManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:47,2022-01-17 08:59:49,1.104s,PASSED
,,,,,,,
Test Cases/Manage Reserve Settings,Chrome 97.0.4692.71,,,2022-01-17 08:59:49,2022-01-17 08:59:52,3.592s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:50,2022-01-17 08:59:50,0.504s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/span_PointManagement""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:50,2022-01-17 08:59:51,0.757s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/a__ManageReserveSetting""))",Chrome 97.0.4692.71,,,2022-01-17 08:59:51,2022-01-17 08:59:52,1.109s,PASSED
