Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
member,Chrome 97.0.4692.71,,,2022-01-17 09:02:26,2022-01-17 09:03:24,57.763s,FAILED
,,,,,,,
Test Cases/login,Chrome 97.0.4692.71,,,2022-01-17 09:02:27,2022-01-17 09:02:47,19.918s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 09:02:28,2022-01-17 09:02:40,12.589s,PASSED
"navigateToUrl(""https://alpha-admin.shopby.co.kr/pro/auth"")",Chrome 97.0.4692.71,,,2022-01-17 09:02:40,2022-01-17 09:02:45,4.484s,PASSED
"setText(findTestObject(""Page_shopby-pro-admin/input_id""), ""shopbyproadmin"")",Chrome 97.0.4692.71,,,2022-01-17 09:02:45,2022-01-17 09:02:46,0.921s,PASSED
"setEncryptedText(findTestObject(""Page_shopby-pro-admin/input_password""), ""YY6OvKdam5zXcWhrYqhBkg=="")",Chrome 97.0.4692.71,,,2022-01-17 09:02:46,2022-01-17 09:02:46,0.561s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/button_login""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:46,2022-01-17 09:02:47,0.501s,PASSED
,,,,,,,
Test Cases/Member List,Chrome 97.0.4692.71,,,2022-01-17 09:02:47,2022-01-17 09:02:52,5.347s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_member""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:49,2022-01-17 09:02:50,1.752s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:50,2022-01-17 09:02:51,0.650s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MemberLlist""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:51,2022-01-17 09:02:52,1.065s,PASSED
,,,,,,,
Test Cases/Member Reg,Chrome 97.0.4692.71,,,2022-01-17 09:02:52,2022-01-17 09:02:55,2.795s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:53,2022-01-17 09:02:54,0.473s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:54,2022-01-17 09:02:54,0.468s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MemberReg""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:54,2022-01-17 09:02:55,0.736s,PASSED
,,,,,,,
Test Cases/Withdraw Member List,Chrome 97.0.4692.71,,,2022-01-17 09:02:55,2022-01-17 09:02:58,2.767s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:56,2022-01-17 09:02:57,0.442s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:57,2022-01-17 09:02:57,0.433s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__WithdrawMemberList""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:57,2022-01-17 09:02:58,0.648s,PASSED
,,,,,,,
Test Cases/Dormant Member List,Chrome 97.0.4692.71,,,2022-01-17 09:02:58,2022-01-17 09:03:01,2.876s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:59,2022-01-17 09:02:59,0.501s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:02:59,2022-01-17 09:03:00,0.505s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__DormantMemberList""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:00,2022-01-17 09:03:01,0.648s,PASSED
,,,,,,,
Test Cases/Membership Level Management,Chrome 97.0.4692.71,,,2022-01-17 09:03:01,2022-01-17 09:03:04,2.921s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:02,2022-01-17 09:03:02,0.470s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/span_MemberManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:02,2022-01-17 09:03:03,0.459s,PASSED
"click(findTestObject(""Page_shopby-pro-admin/a__MembershipLevelManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:03,2022-01-17 09:03:04,0.660s,PASSED
,,,,,,,
Test Cases/Manage Reserve Settings,Chrome 97.0.4692.71,,,2022-01-17 09:03:04,2022-01-17 09:03:06,2.776s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/a_Member""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:04,2022-01-17 09:03:05,0.462s,PASSED
"click(findTestObject(""Object Repository/Page_shopby-pro-admin/span_PointManagement""))",Chrome 97.0.4692.71,,,2022-01-17 09:03:05,2022-01-17 09:03:05,0.462s,PASSED
